"filename", "language", "pip requirements", "PostCSS", "JavaScript", "HTML", "Python", "comment", "blank", "total"
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\urls.py", "Python", 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\views.py", "Python", 0, 0, 0, 0, 76, 104, 13, 193
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 14, 1, 7, 22
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\models.py", "Python", 0, 0, 0, 0, 9, 0, 7, 16
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\serializers.py", "Python", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\urls.py", "Python", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\slides\views.py", "Python", 0, 0, 0, 0, 37, 1, 9, 47
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\admin.py", "Python", 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 20, 1, 7, 28
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0002_usuario_slug.py", "Python", 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0003_alter_usuario_slug.py", "Python", 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0004_alter_usuario_fecha_nacimiento_alter_usuario_nombre_and_more.py", "Python", 0, 0, 0, 0, 28, 1, 6, 35
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0005_alter_usuario_options_alter_usuario_correo_and_more.py", "Python", 0, 0, 0, 0, 25, 1, 6, 32
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0006_usuario_auth_user_alter_usuario_slug.py", "Python", 0, 0, 0, 0, 21, 1, 6, 28
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0007_alter_usuario_auth_user.py", "Python", 0, 0, 0, 0, 15, 1, 6, 22
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0008_remove_usuario_auth_user.py", "Python", 0, 0, 0, 0, 11, 1, 6, 18
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0009_usuario_user.py", "Python", 0, 0, 0, 0, 15, 1, 6, 22
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\0010_remove_usuario_contraseña_and_more.py", "Python", 0, 0, 0, 0, 16, 1, 6, 23
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\models.py", "Python", 0, 0, 0, 0, 26, 1, 6, 33
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\serializers.py", "Python", 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\urls.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\usuarios\views.py", "Python", 0, 0, 0, 0, 134, 6, 18, 158
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\Eliminar.html", "HTML", 0, 0, 0, 65, 0, 0, 12, 77
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\dash.css", "PostCSS", 0, 446, 0, 0, 0, 10, 89, 545
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\dash.js", "JavaScript", 0, 0, 62, 0, 0, 5, 14, 81
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\dashboard.html", "HTML", 0, 0, 0, 143, 0, 24, 9, 176
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\delete.css", "PostCSS", 0, 112, 0, 0, 0, 0, 22, 134
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\doc_admin.html", "HTML", 0, 0, 0, 116, 0, 2, 10, 128
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\documentos.css", "PostCSS", 0, 649, 0, 0, 0, 10, 64, 723
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\documentos.js", "JavaScript", 0, 0, 228, 0, 0, 13, 33, 274
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\estadistica.css", "PostCSS", 0, 466, 0, 0, 0, 11, 70, 547
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\estadistica.html", "HTML", 0, 0, 0, 123, 0, 1, 9, 133
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\estadistica.js", "JavaScript", 0, 0, 223, 0, 0, 6, 8, 237
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\galeriaad.css", "PostCSS", 0, 725, 0, 0, 0, 9, 69, 803
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\galeriaad.html", "HTML", 0, 0, 0, 106, 0, 2, 11, 119
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\galeriaad.js", "JavaScript", 0, 0, 339, 0, 0, 35, 56, 430
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\inventario.css", "PostCSS", 0, 727, 0, 0, 0, 5, 60, 792
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\inventario.html", "HTML", 0, 0, 0, 131, 0, 2, 10, 143
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\inventario.js", "JavaScript", 0, 0, 226, 0, 0, 14, 43, 283
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\misprogramas.css", "PostCSS", 0, 632, 0, 0, 0, 11, 110, 753
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\misprogramas.html", "HTML", 0, 0, 0, 110, 0, 3, 8, 121
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\misprogramas.js", "JavaScript", 0, 0, 185, 0, 0, 6, 27, 218
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\verperfilad.css", "PostCSS", 0, 483, 0, 0, 0, 17, 68, 568
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\verperfilad.html", "HTML", 0, 0, 0, 93, 0, 0, 16, 109
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\admin\verperfilad.js", "JavaScript", 0, 0, 80, 0, 0, 7, 17, 104
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\galeria.css", "PostCSS", 0, 525, 0, 0, 0, 17, 77, 619
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\galeria.html", "HTML", 0, 0, 0, 97, 0, 0, 11, 108
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\galeria.js", "JavaScript", 0, 0, 169, 0, 0, 9, 25, 203
